token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
99926041,Nifty CPSE,NIFTY CPSE,,0.000000,1,AMXIDX,NSE,0.000000
99926042,Nifty50 PR 1x Inv,NIFTY50 PR 1X INV,,0.000000,1,AMXIDX,NSE,0.000000
99926043,Nifty50 TR 2x Lev,NIFTY50 TR 2X LEV,,0.000000,1,AMXIDX,NSE,0.000000
99926044,Nifty50 TR 1x Inv,NIFTY50 TR 1X INV,,0.000000,1,AMXIDX,NSE,0.000000
99926045,Nifty50 Value 20,NIFTY50 VALUE 20,,0.000000,1,AMXIDX,NSE,0.000000
99926046,Nifty Mid Liq 15,NIFTY MID LIQ 15,,0.000000,1,AMXIDX,NSE,0.000000
99926047,Nifty Pvt Bank,NIFTY PVT BANK,,0.000000,1,AMXIDX,NSE,0.000000
99926048,NIFTY100 Qualty30,NIFTY100 QUALTY30,,0.000000,1,AMXIDX,NSE,0.000000
99926049,Nifty GS 8 13Yr,NIFTY GS 8 13YR,,0.000000,1,AMXIDX,NSE,0.000000
99926050,Nifty GS 10Yr,NIFTY GS 10YR,,0.000000,1,AMXIDX,NSE,0.000000
99926051,Nifty GS 10Yr Cln,NIFTY GS 10YR CLN,,0.000000,1,AMXIDX,NSE,0.000000
99926052,Nifty GS 4 8Yr,NIFTY GS 4 8YR,,0.000000,1,AMXIDX,NSE,0.000000
99926053,Nifty GS 11 15Yr,NIFTY GS 11 15YR,,0.000000,1,AMXIDX,NSE,0.000000
99926054,Nifty GS 15YrPlus,NIFTY GS 15YRPLUS,,0.000000,1,AMXIDX,NSE,0.000000
99926055,Nifty GS Compsite,NIFTY GS COMPSITE,,0.000000,1,AMXIDX,NSE,0.000000
99926056,NIFTY50 EQL Wgt,NIFTY50 EQL WGT,,0.000000,1,AMXIDX,NSE,0.000000
99926057,NIFTY100 EQL Wgt,NIFTY100 EQL WGT,,0.000000,1,AMXIDX,NSE,0.000000
99926058,NIFTY100 LowVol30,NIFTY100 LOWVOL30,,0.000000,1,AMXIDX,NSE,0.000000
99926059,NIFTY Alpha 50,NIFTY ALPHA 50,,0.000000,1,AMXIDX,NSE,0.000000
99926060,NIFTY MIDCAP 150,NIFTY MIDCAP 150,,0.000000,1,AMXIDX,NSE,0.000000
99926061,NIFTY SMLCAP 50,NIFTY SMLCAP 50,,0.000000,1,AMXIDX,NSE,0.000000
99926062,NIFTY SMLCAP 250,NIFTY SMLCAP 250,,0.000000,1,AMXIDX,NSE,0.000000
99926063,NIFTY MIDSML 400,NIFTY MIDSML 400,,0.000000,1,AMXIDX,NSE,0.000000
99926064,NIFTY200 QUALTY30,NIFTY200 QUALTY30,,0.000000,1,AMXIDX,NSE,0.000000
99926074,NIFTY MID SELECT,MIDCPNIFTY,,0.000000,1,AMXIDX,NSE,0.000000
10,ABAN-EQ,ABAN,,-1.000000,1,,NSE,1.000000
1001,94SFL28-YL,94SFL28,,-1.000000,1,,NSE,1.000000
10056,SKMEGGPROD-BE,SKMEGGPROD,,-1.000000,1,,NSE,1.000000
10074,EMAMIPAP-EQ,EMAMIPAP,,-1.000000,1,,NSE,1.000000
1015,688WB40-SG,688WB40,,-1.000000,100,,NSE,1.000000
10217,ADANIENSOL-EQ,ADANIENSOL,,-1.000000,1,,NSE,5.000000
10196,782GJ32-SG,782GJ32,,-1.000000,100,,NSE,1.000000
10206,794AP34-SG,794AP34,,-1.000000,100,,NSE,1.000000
10218,792AP42-SG,792AP42,,-1.000000,100,,NSE,1.000000
10235,776HP30-SG,776HP30,,-1.000000,100,,NSE,1.000000
10243,SYNGENE-EQ,SYNGENE,,-1.000000,1,,NSE,5.000000
10272,792TS45-SG,792TS45,,-1.000000,100,,NSE,1.000000
10252,782WB32-SG,782WB32,,-1.000000,100,,NSE,1.000000
10257,792AP42A-SG,792AP42A,,-1.000000,100,,NSE,1.000000
1030,AARON-EQ,AARON,,-1.000000,1,,NSE,5.000000
10367,78GJ32A-SG,78GJ32A,,-1.000000,100,,NSE,1.000000
10454,797WB42-SG,797WB42,,-1.000000,100,,NSE,1.000000
10461,781HR32B-SG,781HR32B,,-1.000000,100,,NSE,1.000000
10498,AGNI-ST,AGNI,,-1.000000,2500,,NSE,5.000000
10505,H1158D46RG-MF,H1158D46RG,,-1.000000,1,,NSE,1.000000
10527,772AP34-SG,772AP34,,-1.000000,100,,NSE,1.000000
10531,761GJ32-SG,761GJ32,,-1.000000,100,,NSE,1.000000
10590,LOYALTEX-EQ,LOYALTEX,,-1.000000,1,,NSE,5.000000
10644,793TN42-SG,793TN42,,-1.000000,100,,NSE,1.000000
10648,773GJ32-SG,773GJ32,,-1.000000,100,,NSE,1.000000
10710,VEEKAYEM-SM,VEEKAYEM,,-1.000000,500,,NSE,5.000000
10720,76TN32-SG,76TN32,,-1.000000,100,,NSE,1.000000
10723,INFRAIETF-EQ,INFRAIETF,,-1.000000,1,,NSE,1.000000
10771,766UP32-SG,766UP32,,-1.000000,100,,NSE,1.000000
10822,MOQUALITY-EQ,MOQUALITY,,-1.000000,1,,NSE,1.000000
10825,MOVALUE-EQ,MOVALUE,,-1.000000,1,,NSE,1.000000
10885,JFLLIFE-SM,JFLLIFE,,-1.000000,6000,,NSE,5.000000
10902,745TS30-SG,745TS30,,-1.000000,100,,NSE,1.000000
10904,747TS31-SG,747TS31,,-1.000000,100,,NSE,1.000000
10939,JUNIORBEES-EQ,JUNIORBEES,,-1.000000,1,,NSE,1.000000
10945,TMB-EQ,TMB,,-1.000000,1,,NSE,5.000000
10981,74GS2062-GS,74GS2062,,-1.000000,1,,NSE,1.000000
11165,COFFEEDAY-EQ,COFFEEDAY,,-1.000000,1,,NSE,1.000000
11211,KANDARP-ST,KANDARP,,-1.000000,2000,,NSE,5.000000
11239,NSIL-EQ,NSIL,,-1.000000,1,,NSE,50.000000
11284,767HR32-SG,767HR32,,-1.000000,100,,NSE,1.000000
11251,PERFECT-ST,PERFECT,,-1.000000,3000,,NSE,5.000000
11255,HDFCQUAL-EQ,HDFCQUAL,,-1.000000,1,,NSE,1.000000
11288,765RJ32A-SG,765RJ32A,,-1.000000,100,,NSE,1.000000
11291,768WB32-SG,768WB32,,-1.000000,100,,NSE,1.000000
11295,772WB38-SG,772WB38,,-1.000000,100,,NSE,1.000000
11299,76AP28-SG,76AP28,,-1.000000,100,,NSE,1.000000
1139,GICHSGFIN-EQ,GICHSGFIN,,-1.000000,1,,NSE,1.000000
1145,GIPCL-EQ,GIPCL,,-1.000000,1,,NSE,1.000000
11430,NDTV-BE,NDTV,,-1.000000,1,,NSE,1.000000
11505,785AS32A-SG,785AS32A,,-1.000000,100,,NSE,1.000000
11510,785UK32-SG,785UK32,,-1.000000,100,,NSE,1.000000
11559,HDFC1359DD-MF,HDFC1359DD,,-1.000000,1,,NSE,1.000000
11563,HDFC1359RG-MF,HDFC1359RG,,-1.000000,1,,NSE,1.000000
11588,741GJ26-SG,741GJ26,,-1.000000,100,,NSE,1.000000
11607,774WB39-SG,774WB39,,-1.000000,100,,NSE,1.000000
11618,ASTRAMICRO-EQ,ASTRAMICRO,,-1.000000,1,,NSE,10.000000
11667,DWARKESH-EQ,DWARKESH,,-1.000000,1,,NSE,1.000000
11677,INDOCO-EQ,INDOCO,,-1.000000,1,,NSE,5.000000
11700,795WB39-SG,795WB39,,-1.000000,100,,NSE,1.000000
11704,783TN42-SG,783TN42,,-1.000000,100,,NSE,1.000000
11730,728IRFC30-NG,728IRFC30,,-1.000000,1,,NSE,1.000000
11767,784TS39-SG,784TS39,,-1.000000,100,,NSE,1.000000
11768,784TS40-SG,784TS40,,-1.000000,100,,NSE,1.000000
11813,SHOPERSTOP-EQ,SHOPERSTOP,,-1.000000,1,,NSE,5.000000
11854,915SCL27A-ZL,915SCL27A,,-1.000000,1,,NSE,1.000000
11861,93SCL24A-ZN,93SCL24A,,-1.000000,1,,NSE,1.000000
11868,63MOONS-EQ,63MOONS,,-1.000000,1,,NSE,5.000000
11882,783BR32-SG,783BR32,,-1.000000,100,,NSE,1.000000
11886,787HP34-SG,787HP34,,-1.000000,100,,NSE,1.000000
11896,GEOJITFSL-EQ,GEOJITFSL,,-1.000000,1,,NSE,1.000000
11920,VITAL-SM,VITAL,,-1.000000,1200,,NSE,5.000000
11945,ANZEN-IV,ANZEN,,-1.000000,25000,,NSE,1.000000
11971,GOLDIAM-EQ,GOLDIAM,,-1.000000,1,,NSE,5.000000
11987,ICIL-EQ,ICIL,,-1.000000,1,,NSE,5.000000
12000,FAZE3Q-EQ,FAZE3Q,,-1.000000,1,,NSE,5.000000
1212,635MH28-SG,635MH28,,-1.000000,100,,NSE,1.000000
12173,HNDFDS-EQ,HNDFDS,,-1.000000,1,,NSE,5.000000
12193,INOXGREEN-BE,INOXGREEN,,-1.000000,1,,NSE,1.000000
12219,RUSTOMJEE-EQ,RUSTOMJEE,,-1.000000,1,,NSE,5.000000
12506,VINNY-BE,VINNY,,-1.000000,1,,NSE,1.000000
12556,SFMP72DR-MF,SFMP72DR,,-1.000000,1,,NSE,1.000000
12660,75AP28-SG,75AP28,,-1.000000,100,,NSE,1.000000
12692,763KA37-SG,763KA37,,-1.000000,100,,NSE,1.000000
13035,SAFARI-EQ,SAFARI,,-1.000000,1,,NSE,10.000000
13125,KERNEX-BE,KERNEX,,-1.000000,1,,NSE,10.000000
13127,763HP37-SG,763HP37,,-1.000000,100,,NSE,1.000000
13288,AFSL-EQ,AFSL,,-1.000000,1,,NSE,1.000000
13323,DOLLEX-SM,DOLLEX,,-1.000000,4000,,NSE,5.000000
13349,UMA-SM,UMA,,-1.000000,4000,,NSE,5.000000
13373,762GA32A-SG,762GA32A,,-1.000000,100,,NSE,1.000000
1348,HEROMOTOCO-EQ,HEROMOTOCO,,-1.000000,1,,NSE,10.000000
13414,RSYSTEMS-EQ,RSYSTEMS,,-1.000000,1,,NSE,5.000000
13472,645GS2029-GS,645GS2029,,-1.000000,1,,NSE,1.000000
13556,HDFC1204RQ-MF,HDFC1204RQ,,-1.000000,1,,NSE,1.000000
1361,622KL27-SG,622KL27,,-1.000000,100,,NSE,1.000000
13566,AVONMORE-BE,AVONMORE,,-1.000000,1,,NSE,1.000000
13602,762TN33-SG,762TN33,,-1.000000,100,,NSE,1.000000
13622,BINANIIND-BE,BINANIIND,,-1.000000,1,,NSE,1.000000
1368,66MN30-SG,66MN30,,-1.000000,100,,NSE,1.000000
13642,SGBDE30III-GB,SGBDE30III,,-1.000000,1,,NSE,1.000000
13710,FIEMIND-EQ,FIEMIND,,-1.000000,1,,NSE,10.000000
13730,INSPIRISYS-EQ,INSPIRISYS,,-1.000000,1,,NSE,1.000000
13772,757TS31-SG,757TS31,,-1.000000,100,,NSE,1.000000
13794,BAIDFIN-EQ,BAIDFIN,,-1.000000,1,,NSE,1.000000
13810,GREENPANEL-EQ,GREENPANEL,,-1.000000,1,,NSE,5.000000
13870,KUANTUM-EQ,KUANTUM,,-1.000000,1,,NSE,1.000000
13941,PRAENG-EQ,PRAENG,,-1.000000,1,,NSE,1.000000
13948,UTIRGR35P3-MF,UTIRGR35P3,,-1.000000,1,,NSE,1.000000
13957,765HR30-SG,765HR30,,-1.000000,100,,NSE,1.000000
13991,771WB39-SG,771WB39,,-1.000000,100,,NSE,1.000000
13992,77PN40-SG,77PN40,,-1.000000,100,,NSE,1.000000
13995,766TS44-SG,766TS44,,-1.000000,100,,NSE,1.000000
14068,SAGCEM-EQ,SAGCEM,,-1.000000,1,,NSE,1.000000
14084,INDORAMA-BE,INDORAMA,,-1.000000,1,,NSE,1.000000
14203,HUBTOWN-EQ,HUBTOWN,,-1.000000,1,,NSE,1.000000
14252,SGBOCT27VI-GB,SGBOCT27VI,,-1.000000,1,,NSE,1.000000
14263,AGARWALFT-SM,AGARWALFT,,-1.000000,1500,,NSE,5.000000
14270,771AP33-SG,771AP33,,-1.000000,100,,NSE,1.000000
14276,759HP38-SG,759HP38,,-1.000000,100,,NSE,1.000000
14318,TTL-BE,TTL,,-1.000000,1,,NSE,1.000000
14329,SMSPHARMA-EQ,SMSPHARMA,,-1.000000,1,,NSE,5.000000
14367,772MH31-SG,772MH31,,-1.000000,100,,NSE,1.000000
14375,772BR33A-SG,772BR33A,,-1.000000,100,,NSE,1.000000
14418,ASTRAL-EQ,ASTRAL,,-1.000000,1,,NSE,10.000000
14423,LAOPALA-EQ,LAOPALA,,-1.000000,1,,NSE,1.000000
14440,NAHARSPING-EQ,NAHARSPING,,-1.000000,1,,NSE,5.000000
1454,655GA30A-SG,655GA30A,,-1.000000,100,,NSE,1.000000
14447,779WB42-SG,779WB42,,-1.000000,100,,NSE,1.000000
14448,NAHARPOLY-BE,NAHARPOLY,,-1.000000,1,,NSE,5.000000
1455,BIRLANU-EQ,BIRLANU,,-1.000000,1,,NSE,10.000000
14574,MCON-SM,MCON,,-1.000000,1000,,NSE,5.000000
14595,VELS-ST,VELS,,-1.000000,1200,,NSE,5.000000
14598,SGBMAR31IV-GB,SGBMAR31IV,,-1.000000,1,,NSE,1.000000
14620,CHEMBOND-BE,CHEMBOND,,-1.000000,1,,NSE,1.000000
14628,FSC-BZ,FSC,,-1.000000,1,,NSE,1.000000
1465,ACCURACY-EQ,ACCURACY,,-1.000000,1,,NSE,1.000000
14634,735GJ26-SG,735GJ26,,-1.000000,100,,NSE,1.000000
14636,77AP30A-SG,77AP30A,,-1.000000,100,,NSE,1.000000
14650,779JK35-SG,779JK35,,-1.000000,100,,NSE,1.000000
14653,774PN39-SG,774PN39,,-1.000000,100,,NSE,1.000000
14655,774WB41-SG,774WB41,,-1.000000,100,,NSE,1.000000
14712,HGS-EQ,HGS,,-1.000000,1,,NSE,5.000000
14720,990SCL26D-AH,990SCL26D,,-1.000000,1,,NSE,1.000000
14761,NELCAST-EQ,NELCAST,,-1.000000,1,,NSE,1.000000
14762,061NSETEST-EQ,061NSETEST,,-1.000000,1,,NSE,5.000000
14778,131NSETEST-EQ,131NSETEST,,-1.000000,1,,NSE,5.000000
14814,774HR31-SG,774HR31,,-1.000000,100,,NSE,1.000000
14821,775NL33-SG,775NL33,,-1.000000,100,,NSE,1.000000
14824,778RJ33-SG,778RJ33,,-1.000000,100,,NSE,1.000000
14845,784RJ41-SG,784RJ41,,-1.000000,100,,NSE,1.000000
14849,785WB42-SG,785WB42,,-1.000000,100,,NSE,1.000000
14858,GOLD1-EQ,GOLD1,,-1.000000,1,,NSE,1.000000
1491,IFCI-EQ,IFCI,,-1.000000,1,,NSE,1.000000
14868,FLFL-BZ,FLFL,,-1.000000,1,,NSE,1.000000
1494,RBA-EQ,RBA,,-1.000000,1,,NSE,1.000000
14922,PURVA-EQ,PURVA,,-1.000000,1,,NSE,5.000000
14949,F13RP-MF,F13RP,,-1.000000,1,,NSE,1.000000
1497,SHIVAMILLS-EQ,SHIVAMILLS,,-1.000000,1,,NSE,1.000000
14954,76AP29-SG,76AP29,,-1.000000,100,,NSE,1.000000
14957,MAGNUM-EQ,MAGNUM,,-1.000000,1,,NSE,1.000000
15068,RELIGARE-EQ,RELIGARE,,-1.000000,1,,NSE,1.000000
15073,BVCL-EQ,BVCL,,-1.000000,1,,NSE,1.000000
1513,535RJ25-SG,535RJ25,,-1.000000,100,,NSE,1.000000
15110,704IRFC26-NL,704IRFC26,,-1.000000,1,,NSE,1.000000
15147,AGUL-SM,AGUL,,-1.000000,2000,,NSE,5.000000
15184,BRIGADE-EQ,BRIGADE,,-1.000000,1,,NSE,10.000000
15256,739HR29-SG,739HR29,,-1.000000,100,,NSE,1.000000
15261,RPOWER-BE,RPOWER,,-1.000000,1,,NSE,1.000000
15283,KNRCON-EQ,KNRCON,,-1.000000,1,,NSE,1.000000
15323,746WB46-SG,746WB46,,-1.000000,100,,NSE,1.000000
15333,746TS48A-SG,746TS48A,,-1.000000,100,,NSE,1.000000
15347,GSS-EQ,GSS,,-1.000000,1,,NSE,1.000000
15360,NAHARCAP-EQ,NAHARCAP,,-1.000000,1,,NSE,5.000000
15362,VGUARD-EQ,VGUARD,,-1.000000,1,,NSE,5.000000
15370,830CIFC26-N2,830CIFC26,,-1.000000,1,,NSE,1.000000
15374,840CIFCL28-N4,840CIFCL28,,-1.000000,1,,NSE,1.000000
15391,RACE-EQ,RACE,,-1.000000,1,,NSE,5.000000
15409,NESCO-EQ,NESCO,,-1.000000,1,,NSE,5.000000
15432,SGBDC27VII-GB,SGBDC27VII,,-1.000000,1,,NSE,1.000000
15572,738AP40-SG,738AP40,,-1.000000,100,,NSE,1.000000
15749,733TN33-SG,733TN33,,-1.000000,100,,NSE,1.000000
15783,732TS48-SG,732TS48,,-1.000000,100,,NSE,1.000000
16029,732TN33-SG,732TN33,,-1.000000,100,,NSE,1.000000
16035,733NL33-SG,733NL33,,-1.000000,100,,NSE,1.000000
16069,737JK35-SG,737JK35,,-1.000000,100,,NSE,1.000000
16133,KRISHCA-SM,KRISHCA,,-1.000000,500,,NSE,5.000000
1621,TATAINVEST-EQ,TATAINVEST,,-1.000000,1,,NSE,50.000000
1644,657HP30-SG,657HP30,,-1.000000,100,,NSE,1.000000
1663,SUNDROP-EQ,SUNDROP,,-1.000000,1,,NSE,5.000000
16639,KIRIINDUS-EQ,KIRIINDUS,,-1.000000,1,,NSE,5.000000
16645,734AS33A-SG,734AS33A,,-1.000000,100,,NSE,1.000000
16657,ANIKINDS-EQ,ANIKINDS,,-1.000000,1,,NSE,1.000000
16664,SIGMA-BE,SIGMA,,-1.000000,1,,NSE,5.000000
16711,SAHANA-SM,SAHANA,,-1.000000,125,,NSE,5.000000
16738,MKPL-BE,MKPL,,-1.000000,1,,NSE,1.000000
16827,KOKUYOCMLN-EQ,KOKUYOCMLN,,-1.000000,1,,NSE,1.000000
16863,LPDC-EQ,LPDC,,-1.000000,1,,NSE,1.000000
16908,TOUCHWOOD-EQ,TOUCHWOOD,,-1.000000,1,,NSE,1.000000
16921,20MICRONS-EQ,20MICRONS,,-1.000000,1,,NSE,1.000000
16923,74AP32-SG,74AP32,,-1.000000,100,,NSE,1.000000
16988,742AP41-SG,742AP41,,-1.000000,100,,NSE,1.000000
16995,739RJ48-SG,739RJ48,,-1.000000,100,,NSE,1.000000
17003,739TN53-SG,739TN53,,-1.000000,100,,NSE,1.000000
17012,GENSOL-BE,GENSOL,,-1.000000,1,,NSE,1.000000
17029,PATANJALI-EQ,PATANJALI,,-1.000000,1,,NSE,10.000000
17043,IIFLZC28B-Y1,IIFLZC28B,,-1.000000,1,,NSE,1.000000
17053,HMAAGRO-EQ,HMAAGRO,,-1.000000,1,,NSE,1.000000
17102,752AP39-SG,752AP39,,-1.000000,100,,NSE,1.000000
17140,IDEAFORGE-EQ,IDEAFORGE,,-1.000000,1,,NSE,5.000000
17145,AARTECH-EQ,AARTECH,,-1.000000,1,,NSE,1.000000
17222,747HR35-SG,747HR35,,-1.000000,100,,NSE,1.000000
17223,744JK38-SG,744JK38,,-1.000000,100,,NSE,1.000000
17271,SENCO-EQ,SENCO,,-1.000000,1,,NSE,5.000000
10046,757GS2033-GS,757GS2033,,-1.000000,1,,NSE,1.000000
1009,68JK35-SG,68JK35,,-1.000000,100,,NSE,1.000000
10227,MANORAMA-EQ,MANORAMA,,-1.000000,1,,NSE,10.000000
10234,765TN29-SG,765TN29,,-1.000000,100,,NSE,1.000000
10271,79TS44-SG,79TS44,,-1.000000,100,,NSE,1.000000
10297,PPL-EQ,PPL,,-1.000000,1,,NSE,5.000000
10300,RAMASTEEL-EQ,RAMASTEEL,,-1.000000,1,,NSE,1.000000
10318,PKTEA-BE,PKTEA,,-1.000000,1,,NSE,5.000000
1041,FINPIPE-EQ,FINPIPE,,-1.000000,1,,NSE,1.000000
10382,795TS35-SG,795TS35,,-1.000000,100,,NSE,1.000000
10394,785PN32-SG,785PN32,,-1.000000,100,,NSE,1.000000
10397,JISLJALEQS-EQ,JISLJALEQS,,-1.000000,1,,NSE,1.000000
10417,DYCL-EQ,DYCL,,-1.000000,1,,NSE,5.000000
10435,OSEINTRUST-IV,OSEINTRUST,,-1.000000,25000,,NSE,1.000000
10440,LUPIN-EQ,LUPIN,,-1.000000,1,,NSE,10.000000
10447,UNITDSPR-EQ,UNITDSPR,,-1.000000,1,,NSE,10.000000
10452,764TN29-SG,764TN29,,-1.000000,100,,NSE,1.000000
10459,777GJ32-SG,777GJ32,,-1.000000,100,,NSE,1.000000
10500,H1158D46DG-MF,H1158D46DG,,-1.000000,1,,NSE,1.000000
10507,H1158D46RQ-MF,H1158D46RQ,,-1.000000,1,,NSE,1.000000
10525,782RJ44-SG,782RJ44,,-1.000000,100,,NSE,1.000000
10544,764TN32-SG,764TN32,,-1.000000,100,,NSE,1.000000
10551,789HP37-SG,789HP37,,-1.000000,100,,NSE,1.000000
10738,OFSS-EQ,OFSS,,-1.000000,1,,NSE,50.000000
1074,655GA30-SG,655GA30,,-1.000000,100,,NSE,1.000000
1080,647KA30-SG,647KA30,,-1.000000,100,,NSE,1.000000
10751,762NTPC35F-ND,762NTPC35F,,-1.000000,1,,NSE,1.000000
10830,MOQLTYINAV-EQ,MOQLTYINAV,,-1.000000,1,,NSE,1.000000
1084,66SK30-SG,66SK30,,-1.000000,100,,NSE,1.000000
10839,HDFC1406DG-MF,HDFC1406DG,,-1.000000,1,,NSE,1.000000
10852,761TN32-SG,761TN32,,-1.000000,100,,NSE,1.000000
10855,753HR30-SG,753HR30,,-1.000000,100,,NSE,1.000000
10907,758PN42-SG,758PN42,,-1.000000,100,,NSE,1.000000
10932,RADAAN-EQ,RADAAN,,-1.000000,1,,NSE,1.000000
11154,SGBJUL27-GB,SGBJUL27,,-1.000000,1,,NSE,1.000000
11155,CREATIVE-EQ,CREATIVE,,-1.000000,1,,NSE,5.000000
11260,HDFCVALUE-EQ,HDFCVALUE,,-1.000000,1,,NSE,1.000000
11293,UNIENTER-EQ,UNIENTER,,-1.000000,1,,NSE,1.000000
11352,955SCL27-Z5,955SCL27,,-1.000000,1,,NSE,1.000000
11356,87SCL27-Z6,87SCL27,,-1.000000,1,,NSE,1.000000
11374,TIPSFILMS-EQ,TIPSFILMS,,-1.000000,1,,NSE,5.000000
11404,779RJ32-SG,779RJ32,,-1.000000,100,,NSE,1.000000
11407,XPROINDIA-EQ,XPROINDIA,,-1.000000,1,,NSE,10.000000
11423,DATAMATICS-EQ,DATAMATICS,,-1.000000,1,,NSE,5.000000
11447,CMRSL-SM,CMRSL,,-1.000000,800,,NSE,5.000000
11513,785BR32-SG,785BR32,,-1.000000,100,,NSE,1.000000
11547,HDFCLOWVOL-EQ,HDFCLOWVOL,,-1.000000,1,,NSE,1.000000
11571,PPLPHARMA-EQ,PPLPHARMA,,-1.000000,1,,NSE,1.000000
11598,773BR32-SG,773BR32,,-1.000000,100,,NSE,1.000000
11602,INDSWFTLTD-EQ,INDSWFTLTD,,-1.000000,1,,NSE,1.000000
11626,WELENT-EQ,WELENT,,-1.000000,1,,NSE,5.000000
1164,NEWGEN-EQ,NEWGEN,,-1.000000,1,,NSE,10.000000
1169,678WB35-SG,678WB35,,-1.000000,100,,NSE,1.000000
11655,JBMA-EQ,JBMA,,-1.000000,1,,NSE,5.000000
11691,784RJ32-SG,784RJ32,,-1.000000,100,,NSE,1.000000
11759,786AP33-SG,786AP33,,-1.000000,100,,NSE,1.000000
1174,GNFC-EQ,GNFC,,-1.000000,1,,NSE,5.000000
11696,789TS36-SG,789TS36,,-1.000000,100,,NSE,1.000000
11697,791UP37-SG,791UP37,,-1.000000,100,,NSE,1.000000
1181,GODFRYPHLP-EQ,GODFRYPHLP,,-1.000000,1,,NSE,50.000000
1186,GLAND-EQ,GLAND,,-1.000000,1,,NSE,10.000000
11835,93SCL25-ZH,93SCL25,,-1.000000,1,,NSE,1.000000
11912,SWELECTES-BE,SWELECTES,,-1.000000,1,,NSE,5.000000
11919,MSPL-EQ,MSPL,,-1.000000,1,,NSE,1.000000
11939,AMIABLE-SM,AMIABLE,,-1.000000,1600,,NSE,5.000000
11997,SYNCOMF-BE,SYNCOMF,,-1.000000,1,,NSE,1.000000
12034,BASML-EQ,BASML,,-1.000000,1,,NSE,1.000000
1210,532AS25-SG,532AS25,,-1.000000,100,,NSE,1.000000
12071,UTIRQP35P1-MF,UTIRQP35P1,,-1.000000,1,,NSE,1.000000
1232,GRASIM-EQ,GRASIM,,-1.000000,1,,NSE,10.000000
12384,ZIMLAB-EQ,ZIMLAB,,-1.000000,1,,NSE,1.000000
1254,673TN40-SG,673TN40,,-1.000000,100,,NSE,1.000000
12561,SFMP72GD-MF,SFMP72GD,,-1.000000,1,,NSE,1.000000
