symbol,exchange,token,lot_size,instrument_type
KEI28OCT253400PE,NFO,102448,175,OPTSTK
KEI28OCT253600PE,NFO,102463,175,OPTSTK
KEI28OCT254400PE,NFO,102498,175,OPTSTK
KEI28OCT254500PE,NFO,102500,175,OPTSTK
KFINTECH30SEP25850CE,NFO,102535,450,OPTSTK
KFINTECH30SEP25950CE,NFO,102547,450,OPTSTK
MAZDOCK25NOV252000CE,NFO,102593,175,OPTSTK
MAZDOCK25NOV252000PE,NFO,102594,175,OPTSTK
JINDALSTEL30SEP25960CE,NFO,102619,625,OPTSTK
JINDALSTEL30SEP251120PE,NFO,102640,625,OPTSTK
JINDALSTEL30SEP251180CE,NFO,102649,625,OPTSTK
KFINTECH28OCT251000PE,NFO,102680,450,OPTSTK
MAZDOCK25NOV252800PE,NFO,102688,175,OPTSTK
MAZDOCK25NOV253200CE,NFO,102703,175,OPTSTK
MCX28OCT258100PE,NFO,102852,125,OPTSTK
MCX28OCT258300PE,NFO,102854,125,OPTSTK
JIOFIN30SEP25340PE,NFO,102901,2350,OPTSTK
MCX25NOV256000CE,NFO,103037,125,OPTSTK
MCX25NOV256000PE,NFO,103038,125,OPTSTK
MCX25NOV256400CE,NFO,103068,125,OPTSTK
MCX25NOV257600PE,NFO,103126,125,OPTSTK
KOTAKBANK28OCT251680CE,NFO,103138,400,OPTSTK
JSWENERGY30SEP25420PE,NFO,103190,1000,OPTSTK
JSWENERGY30SEP25480PE,NFO,103197,1000,OPTSTK
JSWENERGY30SEP25500PE,NFO,103199,1000,OPTSTK
JSWENERGY30SEP25580CE,NFO,103206,1000,OPTSTK
KOTAKBANK28OCT252040PE,NFO,103218,400,OPTSTK
KPITTECH30SEP251300CE,NFO,103351,400,OPTSTK
MFSL28OCT251460PE,NFO,103363,800,OPTSTK
MFSL28OCT251540CE,NFO,103366,800,OPTSTK
KPITTECH28OCT251200CE,NFO,103417,400,OPTSTK
KPITTECH28OCT251320CE,NFO,103439,400,OPTSTK
KPITTECH28OCT251360PE,NFO,103452,400,OPTSTK
LAURUSLABS30SEP25850CE,NFO,103518,1700,OPTSTK
JSWSTEEL30SEP25880CE,NFO,103529,675,OPTSTK
JSWSTEEL30SEP251080PE,NFO,103552,675,OPTSTK
MFSL28OCT251740CE,NFO,103638,800,OPTSTK
JSWSTEEL30SEP251180CE,NFO,103661,675,OPTSTK
LAURUSLABS28OCT25760CE,NFO,103701,1700,OPTSTK
LAURUSLABS28OCT25780PE,NFO,103704,1700,OPTSTK
LAURUSLABS28OCT25840CE,NFO,103714,1700,OPTSTK
LAURUSLABS28OCT25860PE,NFO,103717,1700,OPTSTK
LAURUSLABS28OCT25880PE,NFO,103719,1700,OPTSTK
LAURUSLABS28OCT25960CE,NFO,103755,1700,OPTSTK
MFSL25NOV251520CE,NFO,103756,800,OPTSTK
MFSL25NOV251640CE,NFO,103762,800,OPTSTK
LAURUSLABS28OCT25960PE,NFO,103763,1700,OPTSTK
MFSL25NOV251760CE,NFO,103780,800,OPTSTK
MOTHERSON28OCT2592.5CE,NFO,103833,6150,OPTSTK
LICHSGFIN30SEP25590PE,NFO,103938,1000,OPTSTK
MOTHERSON25NOV2595PE,NFO,103991,6150,OPTSTK
MOTHERSON25NOV25110CE,NFO,103996,6150,OPTSTK
MOTHERSON25NOV25120PE,NFO,104001,6150,OPTSTK
JUBLFOOD30SEP25700CE,NFO,104060,1250,OPTSTK
MPHASIS28OCT253050CE,NFO,104100,275,OPTSTK
MPHASIS25NOV252400CE,NFO,104134,275,OPTSTK
MPHASIS25NOV252900PE,NFO,104151,275,OPTSTK
MUTHOOTFIN28OCT252950CE,NFO,104305,275,OPTSTK
LICI30SEP25790CE,NFO,104325,700,OPTSTK
LICI30SEP25810PE,NFO,104332,700,OPTSTK
KALYANKJIL30SEP25460CE,NFO,104393,1175,OPTSTK
LICI30SEP25850PE,NFO,104402,700,OPTSTK
KALYANKJIL30SEP25580PE,NFO,104436,1175,OPTSTK
LICI30SEP25950CE,NFO,104451,700,OPTSTK
LICI30SEP25950PE,NFO,104452,700,OPTSTK
MUTHOOTFIN25NOV252800CE,NFO,104460,275,OPTSTK
MUTHOOTFIN25NOV253000PE,NFO,104465,275,OPTSTK
LICI30SEP25990CE,NFO,104519,700,OPTSTK
LICI28OCT25800PE,NFO,104583,700,OPTSTK
LICI28OCT25820CE,NFO,104584,700,OPTSTK
LICI28OCT25920PE,NFO,104598,700,OPTSTK
NATIONALUM28OCT25185CE,NFO,104602,3750,OPTSTK
NATIONALUM28OCT25195CE,NFO,104604,3750,OPTSTK
LICI28OCT251000PE,NFO,104628,700,OPTSTK
NATIONALUM25NOV25170CE,NFO,104642,3750,OPTSTK
NATIONALUM25NOV25230PE,NFO,104728,3750,OPTSTK
LODHA30SEP251340PE,NFO,104785,450,OPTSTK
NAUKRI28OCT251260CE,NFO,104795,375,OPTSTK
NAUKRI28OCT251260PE,NFO,104796,375,OPTSTK
NAUKRI28OCT251340PE,NFO,104802,375,OPTSTK
NAUKRI28OCT251420CE,NFO,104805,375,OPTSTK
KAYNES30SEP256400CE,NFO,104809,100,OPTSTK
NAUKRI28OCT251460PE,NFO,104812,375,OPTSTK
LODHA28OCT251200CE,NFO,104986,450,OPTSTK
LODHA28OCT251280PE,NFO,105019,450,OPTSTK
LODHA28OCT251400PE,NFO,105029,450,OPTSTK
LT30SEP253950PE,NFO,105118,175,OPTSTK
LT30SEP254050CE,NFO,105119,175,OPTSTK
NBCC28OCT2597.5CE,NFO,105135,6500,OPTSTK
KEI30SEP253700PE,NFO,105161,175,OPTSTK
LT30SEP254050PE,NFO,105163,175,OPTSTK
KEI30SEP254000CE,NFO,105171,175,OPTSTK
KEI30SEP254000PE,NFO,105185,175,OPTSTK
KEI30SEP254300PE,NFO,105191,175,OPTSTK
NBCC25NOV25100CE,NFO,105236,6500,OPTSTK
NBCC25NOV25100PE,NFO,105237,6500,OPTSTK
LT28OCT253400PE,NFO,105306,175,OPTSTK
LT28OCT253500PE,NFO,105308,175,OPTSTK
NCC28OCT25185PE,NFO,105310,2700,OPTSTK
NCC28OCT25215CE,NFO,105315,2700,OPTSTK
NCC28OCT25225CE,NFO,105317,2700,OPTSTK
NCC25NOV25170CE,NFO,105347,2700,OPTSTK
NCC25NOV25170PE,NFO,105348,2700,OPTSTK
LT28OCT253900CE,NFO,105355,175,OPTSTK
LT28OCT253900PE,NFO,105356,175,OPTSTK
LTF30SEP25217.5PE,NFO,105415,4462,OPTSTK
LTF30SEP25242.5CE,NFO,105425,4462,OPTSTK
LTF30SEP25242.5PE,NFO,105426,4462,OPTSTK
LTF28OCT25185PE,NFO,105541,4462,OPTSTK
NESTLEIND28OCT251090CE,NFO,105553,500,OPTSTK
LTF28OCT25205PE,NFO,105614,4462,OPTSTK
LTF28OCT25215CE,NFO,105619,4462,OPTSTK
NESTLEIND28OCT251230PE,NFO,105630,500,OPTSTK
NESTLEIND28OCT251270CE,NFO,105633,500,OPTSTK
KFINTECH30SEP251000PE,NFO,105647,450,OPTSTK
NESTLEIND25NOV251080PE,NFO,105738,500,OPTSTK
NESTLEIND25NOV251240PE,NFO,105784,500,OPTSTK
NESTLEIND25NOV251260CE,NFO,105808,500,OPTSTK
LTF28OCT25235CE,NFO,105818,4462,OPTSTK
LTF28OCT25250PE,NFO,105827,4462,OPTSTK
LTIM30SEP255300PE,NFO,105859,150,OPTSTK
LTIM28OCT254400PE,NFO,105906,150,OPTSTK
KOTAKBANK30SEP251720CE,NFO,106061,400,OPTSTK
NHPC28OCT2573CE,NFO,106071,6400,OPTSTK
KOTAKBANK30SEP251880CE,NFO,106088,400,OPTSTK
KOTAKBANK30SEP251880PE,NFO,106089,400,OPTSTK
KOTAKBANK30SEP252040CE,NFO,106096,400,OPTSTK
KOTAKBANK30SEP252040PE,NFO,106097,400,OPTSTK
NHPC28OCT2583PE,NFO,106117,6400,OPTSTK
NHPC28OCT2585CE,NFO,106118,6400,OPTSTK
LUPIN30SEP251940CE,NFO,106188,425,OPTSTK
LUPIN30SEP252060PE,NFO,106196,425,OPTSTK
NHPC25NOV2568PE,NFO,106228,6400,OPTSTK
NHPC25NOV2582CE,NFO,106242,6400,OPTSTK
NHPC25NOV2592PE,NFO,106253,6400,OPTSTK
NMDC28OCT2569PE,NFO,106372,13500,OPTSTK
NMDC28OCT2575CE,NFO,106377,13500,OPTSTK
LUPIN28OCT251560PE,NFO,106461,425,OPTSTK
NMDC25NOV2560CE,NFO,106501,13500,OPTSTK
NMDC25NOV2572PE,NFO,106520,13500,OPTSTK
LUPIN28OCT251680PE,NFO,106524,425,OPTSTK
LUPIN28OCT251840CE,NFO,106533,425,OPTSTK
LUPIN28OCT251880PE,NFO,106554,425,OPTSTK
LUPIN28OCT251960PE,NFO,106558,425,OPTSTK
LUPIN28OCT252080PE,NFO,106564,425,OPTSTK
NMDC25NOV2578PE,NFO,106568,13500,OPTSTK
NTPC28OCT25315PE,NFO,106637,1500,OPTSTK
NTPC28OCT25325PE,NFO,106639,1500,OPTSTK
NTPC28OCT25335CE,NFO,106640,1500,OPTSTK
M&M30SEP253250CE,NFO,106706,200,OPTSTK
M&M30SEP253450PE,NFO,106713,200,OPTSTK
M&M30SEP253850CE,NFO,106720,200,OPTSTK
NTPC25NOV25300CE,NFO,106774,1500,OPTSTK
M&M28OCT252900PE,NFO,106780,200,OPTSTK
M&M28OCT253400CE,NFO,106800,200,OPTSTK
M&M28OCT253600PE,NFO,106808,200,OPTSTK
M&M28OCT253900PE,NFO,106814,200,OPTSTK
KPITTECH30SEP251040PE,NFO,106821,400,OPTSTK
KPITTECH30SEP251200CE,NFO,106828,400,OPTSTK
KPITTECH30SEP251280CE,NFO,106832,400,OPTSTK
KPITTECH30SEP251360PE,NFO,106837,400,OPTSTK
MANAPPURAM30SEP25235CE,NFO,106932,3000,OPTSTK
MANAPPURAM30SEP25285PE,NFO,106970,3000,OPTSTK
LAURUSLABS30SEP25740CE,NFO,107036,1700,OPTSTK
LAURUSLABS30SEP25840PE,NFO,107053,1700,OPTSTK
LAURUSLABS30SEP25960CE,NFO,107087,1700,OPTSTK
NUVAMA25NOV256400PE,NFO,107191,75,OPTSTK
NUVAMA25NOV256800CE,NFO,107194,75,OPTSTK
LICHSGFIN30SEP25480PE,NFO,107226,1000,OPTSTK
NYKAA28OCT25212.5PE,NFO,107259,3125,OPTSTK
LICHSGFIN30SEP25600PE,NFO,107273,1000,OPTSTK
LICHSGFIN30SEP25620PE,NFO,107281,1000,OPTSTK
MANAPPURAM28OCT25300PE,NFO,107293,3000,OPTSTK
MANAPPURAM28OCT25310CE,NFO,107294,3000,OPTSTK
LICHSGFIN30SEP25680PE,NFO,107371,1000,OPTSTK
MANKIND30SEP252650CE,NFO,107381,225,OPTSTK
NYKAA25NOV25210CE,NFO,107475,3125,OPTSTK
NYKAA25NOV25215PE,NFO,107478,3125,OPTSTK
NYKAA25NOV25220CE,NFO,107479,3125,OPTSTK
NYKAA25NOV25230CE,NFO,107484,3125,OPTSTK
NYKAA25NOV25230PE,NFO,107487,3125,OPTSTK
NYKAA25NOV25250CE,NFO,107518,3125,OPTSTK
MARICO30SEP25670CE,NFO,107535,1200,OPTSTK
MARICO30SEP25710PE,NFO,107618,1200,OPTSTK
OBEROIRLTY28OCT251420CE,NFO,107632,350,OPTSTK
OBEROIRLTY28OCT251460CE,NFO,107679,350,OPTSTK
OBEROIRLTY28OCT251460PE,NFO,107680,350,OPTSTK
MARICO28OCT25700CE,NFO,107715,1200,OPTSTK
OBEROIRLTY28OCT251540PE,NFO,107724,350,OPTSTK
OBEROIRLTY28OCT251620CE,NFO,107740,350,OPTSTK
MARICO28OCT25840PE,NFO,107742,1200,OPTSTK
OBEROIRLTY28OCT251820PE,NFO,107761,350,OPTSTK
OBEROIRLTY28OCT251860CE,NFO,107762,350,OPTSTK
LICI30SEP25780CE,NFO,107786,700,OPTSTK
LICI30SEP25820CE,NFO,107790,700,OPTSTK
LICI30SEP25880CE,NFO,107796,700,OPTSTK
LICI30SEP25900PE,NFO,107799,700,OPTSTK
LICI30SEP25920PE,NFO,107801,700,OPTSTK
LICI30SEP25980CE,NFO,107806,700,OPTSTK
OBEROIRLTY25NOV251360PE,NFO,107940,350,OPTSTK
MARUTI30SEP2514100PE,NFO,107988,50,OPTSTK
MARUTI30SEP2514900PE,NFO,107998,50,OPTSTK
MARUTI30SEP2515500CE,NFO,108005,50,OPTSTK
MARUTI30SEP2515900PE,NFO,108010,50,OPTSTK
LODHA30SEP251120PE,NFO,108151,450,OPTSTK
MARUTI28OCT2512800PE,NFO,108233,50,OPTSTK
MARUTI28OCT2513800CE,NFO,108242,50,OPTSTK
MARUTI28OCT2515400CE,NFO,108258,50,OPTSTK
OFSS28OCT258100CE,NFO,108283,75,OPTSTK
OFSS28OCT258300PE,NFO,108286,75,OPTSTK
OFSS28OCT259300PE,NFO,108300,75,OPTSTK
OFSS28OCT259500CE,NFO,108301,75,OPTSTK
OFSS25NOV257200PE,NFO,108396,75,OPTSTK
OFSS25NOV258200PE,NFO,108408,75,OPTSTK
OFSS25NOV258400PE,NFO,108413,75,OPTSTK
OIL28OCT25390CE,NFO,108473,1400,OPTSTK
OFSS25NOV2510000PE,NFO,108432,75,OPTSTK
MAXHEALTH30SEP251220PE,NFO,108505,525,OPTSTK
OIL25NOV25480CE,NFO,108554,1400,OPTSTK
MAXHEALTH28OCT25960CE,NFO,108712,525,OPTSTK
MAXHEALTH28OCT251280PE,NFO,108747,525,OPTSTK
MAXHEALTH28OCT251400CE,NFO,108752,525,OPTSTK
ONGC25NOV25200PE,NFO,108816,2250,OPTSTK
ONGC25NOV25220PE,NFO,108820,2250,OPTSTK
ONGC25NOV25230CE,NFO,108821,2250,OPTSTK
ONGC25NOV25260PE,NFO,108828,2250,OPTSTK
MAZDOCK28OCT253000PE,NFO,108878,175,OPTSTK
LT30SEP253400CE,NFO,108951,175,OPTSTK
LT30SEP253400PE,NFO,108952,175,OPTSTK
PAGEIND28OCT2541500CE,NFO,108974,15,OPTSTK
LT30SEP253600CE,NFO,109007,175,OPTSTK
LTF30SEP25200PE,NFO,109225,4462,OPTSTK
LTF30SEP25205CE,NFO,109226,4462,OPTSTK
LTF30SEP25215PE,NFO,109231,4462,OPTSTK
MCX30SEP257700CE,NFO,109245,125,OPTSTK
PAGEIND25NOV2544000CE,NFO,109279,15,OPTSTK
PAGEIND25NOV2544000PE,NFO,109281,15,OPTSTK
MCX28OCT256200CE,NFO,109322,125,OPTSTK
MCX28OCT257000CE,NFO,109354,125,OPTSTK
MCX28OCT258000CE,NFO,109394,125,OPTSTK
MCX28OCT258600PE,NFO,109402,125,OPTSTK
MCX28OCT259000CE,NFO,109405,125,OPTSTK
MFSL30SEP251420PE,NFO,109465,800,OPTSTK
MFSL30SEP251460CE,NFO,109466,800,OPTSTK
PATANJALI28OCT251820CE,NFO,109474,300,OPTSTK
PATANJALI28OCT251980PE,NFO,109497,300,OPTSTK
PATANJALI25NOV251680CE,NFO,109560,300,OPTSTK
PATANJALI25NOV251720PE,NFO,109563,300,OPTSTK
PATANJALI25NOV251840PE,NFO,109569,300,OPTSTK
PATANJALI25NOV251880PE,NFO,109571,300,OPTSTK
MFSL30SEP251540CE,NFO,109577,800,OPTSTK
LTIM30SEP254600CE,NFO,109628,150,OPTSTK
LTIM30SEP255200PE,NFO,109650,150,OPTSTK
LTIM30SEP255800CE,NFO,109655,150,OPTSTK
PAYTM28OCT251140PE,NFO,109699,725,OPTSTK
PAYTM28OCT251180PE,NFO,109701,725,OPTSTK
PAYTM25NOV251120PE,NFO,109814,725,OPTSTK
PERSISTENT28OCT254700CE,NFO,109905,100,OPTSTK
MFSL28OCT251320PE,NFO,109939,800,OPTSTK
MFSL28OCT251520CE,NFO,109950,800,OPTSTK
LUPIN30SEP251680PE,NFO,109960,425,OPTSTK
LUPIN30SEP251720CE,NFO,109961,425,OPTSTK
LUPIN30SEP251840CE,NFO,109967,425,OPTSTK
LUPIN30SEP251920PE,NFO,109972,425,OPTSTK
LUPIN30SEP251960CE,NFO,109973,425,OPTSTK
PERSISTENT25NOV254800PE,NFO,110059,100,OPTSTK
PERSISTENT25NOV255000PE,NFO,110061,100,OPTSTK
PERSISTENT25NOV255600CE,NFO,110066,100,OPTSTK
PERSISTENT25NOV256000PE,NFO,110071,100,OPTSTK
LUPIN30SEP252320PE,NFO,110082,425,OPTSTK
MOTHERSON30SEP2592.5PE,NFO,110108,6150,OPTSTK
MOTHERSON30SEP25107.5CE,NFO,110113,6150,OPTSTK
MOTHERSON28OCT2580PE,NFO,110210,6150,OPTSTK
MOTHERSON28OCT25110PE,NFO,110222,6150,OPTSTK
PETRONET28OCT25255PE,NFO,110249,1800,OPTSTK
MPHASIS30SEP252950PE,NFO,110309,275,OPTSTK
MPHASIS30SEP252850CE,NFO,110306,275,OPTSTK
M&M30SEP252700PE,NFO,110344,200,OPTSTK
MPHASIS28OCT252500CE,NFO,110377,275,OPTSTK
MPHASIS28OCT252600PE,NFO,110380,275,OPTSTK
MPHASIS28OCT252800PE,NFO,110391,275,OPTSTK
MPHASIS28OCT253000CE,NFO,110405,275,OPTSTK
MPHASIS28OCT253100CE,NFO,110413,275,OPTSTK
MPHASIS28OCT253300PE,NFO,110430,275,OPTSTK
M&M30SEP253500CE,NFO,110433,200,OPTSTK
M&M30SEP253600CE,NFO,110437,200,OPTSTK
MUTHOOTFIN30SEP252350PE,NFO,110464,275,OPTSTK
MUTHOOTFIN30SEP252650PE,NFO,110470,275,OPTSTK
M&M30SEP253800CE,NFO,110476,200,OPTSTK
M&M30SEP253800PE,NFO,110477,200,OPTSTK
MUTHOOTFIN30SEP252850PE,NFO,110479,275,OPTSTK
PETRONET25NOV25220PE,NFO,110543,1800,OPTSTK
PETRONET25NOV25240CE,NFO,110546,1800,OPTSTK
PETRONET25NOV25260CE,NFO,110550,1800,OPTSTK
PETRONET25NOV25320PE,NFO,110570,1800,OPTSTK
PFC28OCT25350PE,NFO,110629,1300,OPTSTK
PFC28OCT25370CE,NFO,110630,1300,OPTSTK
PFC28OCT25410CE,NFO,110635,1300,OPTSTK
NATIONALUM30SEP25165CE,NFO,110668,3750,OPTSTK
NATIONALUM30SEP25215CE,NFO,110681,3750,OPTSTK
NATIONALUM28OCT25170PE,NFO,110757,3750,OPTSTK
MANAPPURAM30SEP25280PE,NFO,110818,3000,OPTSTK
MANAPPURAM30SEP25300CE,NFO,110821,3000,OPTSTK
MANAPPURAM30SEP25320CE,NFO,110825,3000,OPTSTK
PGEL28OCT25580CE,NFO,110891,700,OPTSTK
PGEL25NOV25440PE,NFO,110916,700,OPTSTK
PGEL25NOV25640PE,NFO,110928,700,OPTSTK
MANKIND30SEP252800CE,NFO,110979,225,OPTSTK
MANKIND30SEP253000PE,NFO,111004,225,OPTSTK
NAUKRI30SEP251340PE,NFO,111026,375,OPTSTK
PHOENIXLTD28OCT251340PE,NFO,111105,350,OPTSTK
NAUKRI28OCT251120PE,NFO,111132,375,OPTSTK
NAUKRI28OCT251480CE,NFO,111150,375,OPTSTK
PHOENIXLTD28OCT251500PE,NFO,111153,350,OPTSTK
NAUKRI28OCT251560CE,NFO,111156,375,OPTSTK
PHOENIXLTD28OCT251540PE,NFO,111173,350,OPTSTK
NBCC30SEP2592.5CE,NFO,111190,6500,OPTSTK
NBCC30SEP2592.5PE,NFO,111191,6500,OPTSTK
NBCC28OCT2580PE,NFO,111245,6500,OPTSTK
PHOENIXLTD28OCT251660CE,NFO,111247,350,OPTSTK
NBCC28OCT25100CE,NFO,111262,6500,OPTSTK
NBCC28OCT25110CE,NFO,111266,6500,OPTSTK
PHOENIXLTD25NOV251280PE,NFO,111338,350,OPTSTK
MARICO30SEP25640CE,NFO,111339,1200,OPTSTK
MARICO30SEP25700PE,NFO,111346,1200,OPTSTK
NCC28OCT25240CE,NFO,111434,2700,OPTSTK
PHOENIXLTD25NOV251480PE,NFO,111407,350,OPTSTK
NCC28OCT25200PE,NFO,111427,2700,OPTSTK
NCC28OCT25210PE,NFO,111429,2700,OPTSTK
NESTLEIND30SEP251070PE,NFO,111608,500,OPTSTK
NESTLEIND30SEP251110CE,NFO,111632,500,OPTSTK
NESTLEIND30SEP251130PE,NFO,111655,500,OPTSTK
PIDILITIND28OCT252940PE,NFO,111704,250,OPTSTK
PIDILITIND28OCT253060PE,NFO,111710,250,OPTSTK
PIDILITIND28OCT253140CE,NFO,111713,250,OPTSTK
PIDILITIND28OCT253220PE,NFO,111718,250,OPTSTK
PIDILITIND28OCT253260PE,NFO,111720,250,OPTSTK
MARUTI30SEP2511000CE,NFO,111860,50,OPTSTK
PIDILITIND25NOV252840PE,NFO,111918,250,OPTSTK
PIDILITIND25NOV252920CE,NFO,111921,250,OPTSTK
MARUTI30SEP2514000CE,NFO,111946,50,OPTSTK
MARUTI30SEP2514000PE,NFO,111947,50,OPTSTK
NESTLEIND28OCT251000CE,NFO,111996,500,OPTSTK
NESTLEIND28OCT251040CE,NFO,112000,500,OPTSTK
NESTLEIND28OCT251200CE,NFO,112018,500,OPTSTK
NESTLEIND28OCT251320PE,NFO,112056,500,OPTSTK
MAXHEALTH30SEP251200PE,NFO,112180,525,OPTSTK
PIDILITIND25NOV253240PE,NFO,112030,250,OPTSTK
MAXHEALTH30SEP25960CE,NFO,112167,525,OPTSTK
MAXHEALTH30SEP251240PE,NFO,112182,525,OPTSTK
MAXHEALTH30SEP251360PE,NFO,112188,525,OPTSTK
MAXHEALTH30SEP251400PE,NFO,112190,525,OPTSTK
NHPC30SEP2571CE,NFO,112250,6400,OPTSTK
NHPC30SEP2573CE,NFO,112252,6400,OPTSTK
NHPC30SEP2583PE,NFO,112265,6400,OPTSTK
NHPC30SEP2589CE,NFO,112270,6400,OPTSTK
PIIND28OCT253850PE,NFO,112291,175,OPTSTK
PIIND28OCT254050PE,NFO,112295,175,OPTSTK
PIIND25NOV253000PE,NFO,112398,175,OPTSTK
PIIND28OCT253950PE,NFO,112293,175,OPTSTK
PIIND28OCT254150CE,NFO,112296,175,OPTSTK
PIIND25NOV253700CE,NFO,112411,175,OPTSTK
PIIND25NOV253900CE,NFO,112415,175,OPTSTK
NHPC28OCT2568CE,NFO,112418,6400,OPTSTK
MAZDOCK30SEP252600CE,NFO,112444,175,OPTSTK
MAZDOCK30SEP253000CE,NFO,112448,175,OPTSTK
MAZDOCK30SEP253200CE,NFO,112450,175,OPTSTK
MAZDOCK30SEP253200PE,NFO,112451,175,OPTSTK
NHPC28OCT2580PE,NFO,112477,6400,OPTSTK
NHPC28OCT2586PE,NFO,112525,6400,OPTSTK
PNB28OCT2591PE,NFO,112559,8000,OPTSTK
PNB28OCT2599PE,NFO,112567,8000,OPTSTK
PNB28OCT25101PE,NFO,112569,8000,OPTSTK
NMDC30SEP2563CE,NFO,112612,13500,OPTSTK
NMDC30SEP2567PE,NFO,112617,13500,OPTSTK
